0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.22509676,-0.62596345,-0.32589287,0.44776797,0.07407906,0.81436414,0.8662694,-0.20487168,0.45299238,-0.6000072,-0.73349607,0.2162478,-1.3751233,0.42569935,2.133053,0.8156967
-0.62381864,-0.4374705,-1.3198847,0.48184353,2.1412451,-0.9164381,-0.5342292,-0.21637563,0.8600569,-0.6695963,1.1061418,-0.16463251,-0.9774637,0.82165885,1.4674926,-0.5539949
0.3611524,-1.3048532,1.166312,-1.5446798,0.0023044317,-0.5202235,-0.036981203,1.2870805,-0.77840406,1.198366,0.6561336,-1.4571204,-0.15569483,1.2630365,-0.5004477,-0.8497812
0.026691884,0.72328764,1.3196152,0.32297197,0.6356993,-1.2848634,0.16334516,0.41582102,-1.0135657,0.8526879,-0.08434984,-0.7648145,0.54680794,-1.6009305,-0.3035492,0.3043715
0.26388612,0.76922005,-0.10427169,0.30906558,-1.2441661,0.91052073,-0.4535394,0.9895807,1.8329079,-1.0331839,-1.2354121,-1.4683437,-1.9658141,1.1732403,0.15793487,-0.687931
-0.17959851,2.4506252,1.1734571,-0.80597997,-1.7140937,0.13110964,0.1106451,-0.8991731,0.6813006,0.88035214,0.29442146,0.8956933,-0.38291883,0.02814646,0.45493183,-1.3825886
-1.0857201,1.2555114,0.44973502,0.5811724,0.48701397,0.63349295,0.5362358,-0.8625344,-0.065716036,-1.1262519,-1.442298,0.06510519,0.7246798,1.1934141,-0.22305112,2.0857024
1.0779198,-0.62812454,0.045009583,0.16213363,1.3849169,-0.57644105,0.21216846,2.2050354,-0.46328324,-0.5912812,-1.029879,-0.866482,-0.96356344,-0.59438103,-0.5565704,0.38780966
-1.2848426,0.694465,-1.4744989,-0.42732805,-0.25453132,-1.2063783,-0.31865826,2.82936,0.3526153,0.55887353,0.27363744,-0.68133694,0.5333098,-1.4091061,0.049879976,0.34418458
-0.6167372,-1.2471355,0.595375,0.51832134,-0.98733956,-0.48785564,-1.988154,1.4776598,-0.6985072,0.8560727,-0.05986492,-0.3067475,0.33519015,0.6531099,0.20678435,-1.018352
-1.8502125,-1.2474452,0.42890164,0.18893133,0.6748868,0.22088829,-1.3905752,0.4717144,-1.0549242,-0.52944684,0.48612154,-0.30437368,-0.46140838,-1.4333166,0.6625425,0.7191965
-1.1216493,-0.9424568,-1.1472628,0.7851314,0.861537,-0.110073656,-0.33046746,1.8102269,-1.2765396,-0.43542913,0.035175726,-0.04301856,-0.3395348,0.84133923,0.27868882,-0.034481414
-0.7256313,0.3145877,-0.6587047,0.419922,0.83725053,0.9993409,0.8840285,1.2122046,1.3725376,-1.9264259,-1.3263078,-0.2466487,-1.5351993,0.10222218,-1.3619491,-0.3106417
-0.16360646,0.78334045,-0.19843212,2.6590698,0.5332914,1.7420775,0.9424278,1.0084844,1.3063911,0.14607318,-1.5513359,-0.14085513,1.2154192,-1.7759639,-0.5985874,-0.4717361
-1.1728129,1.2283953,0.023978395,-0.2336847,1.2319982,0.27054504,0.681677,-0.6471382,-0.9485758,0.24484782,0.37025994,-1.9078991,1.1468017,0.9125597,1.4233,0.36141977
-0.3761402,-1.7298836,-0.2644412,0.17541865,-0.4804072,-0.86572754,1.1950037,-1.5465119,0.32920855,-0.500459,1.8291888,1.5129431,1.0801438,0.43203455,0.8960766,0.44130182
-0.27475393,0.04067318,2.0388885,-0.95358324,-0.32389665,-0.34675878,0.23344076,1.1376482,1.1438289,0.8522024,1.525528,0.7607926,-0.15520732,-0.13335268,-0.63962525,0.5845006
-0.5514709,-0.24675794,0.64325964,0.28977513,-0.5736246,0.95544815,2.095678,-0.7390579,0.16348389,0.31518638,-0.9763761,0.5926538,0.18817808,0.61526537,-0.48955017,-0.2802037
-1.2398154,-0.13305731,2.2016642,0.78374386,-1.7327112,-0.68389994,1.2601604,0.1279489,0.30986956,0.73473,-1.0534263,-1.2284855,-1.2527474,-0.19397503,-1.0752537,0.17749724
-0.85183775,-0.27907273,-1.333404,-0.98715454,-0.22556713,-0.41804233,0.4153456,-1.0386801,-2.0632653,-0.5878358,0.34090188,0.84496105,-0.57214844,0.99168974,-0.17271623,0.36026552
0.10970994,-0.18756957,-0.13634396,1.1769514,0.24016173,-1.6164396,0.8744849,-1.9045856,0.17173113,-1.7992718,0.42088234,-0.7128203,-0.13670862,0.77242696,-0.41955,-1.4423398
0.32775545,0.21020178,-0.018812906,-1.0054325,0.41970986,0.8113551,-0.19912268,0.5580922,-0.7428518,1.8137592,-0.27981675,-0.60251707,-2.3278992,0.74540204,-2.0328617,0.053854093
